origin_topic_q5,origin_topic_q4,origin_topic_q1,origin_topic_q3,origin_topic_q2,intruder_task_index_q5,word2_q4,word1_q4,word2_q2,word1_q2,word1_q1,word2_q1,intruder_topic_q2,intruder_topic_q3,intruder_topic_q1,word3_q3,intruder_topic_q4,intruder_topic_q5,word0_q4,word4_q3,word0_q5,word3_q5,word4_q5,intruder_source_index_q2,intruder_source_index_q3,intruder_source_index_q1,intruder_source_index_q4,intruder_source_index_q5,word5_q3,word5_q2,word5_q1,word0_q1,word0_q2,word0_q3,word2_q5,word5_q5,intruder_task_index_q4,word1_q3,word5_q4,intruder_task_index_q1,intruder_task_index_q2,intruder_task_index_q3,intruder_token_q4,intruder_token_q5,intruder_token_q1,intruder_token_q2,intruder_token_q3,word2_q3,word1_q5,word3_q1,word4_q1,word4_q2,word3_q2,word4_q4,word3_q4
25,4,5,5,19,5,tavis,lincoln,thi,tha,cymbalta,wolf,22,29,2,wolf,5,18,film,enbrel,newt,santorum,rick,15,1,1,3,12,cnn,thh,anderson,zimmerman,constitution,cymbalta,iowa,murdoch,4,sexual,kennedy,0,0,1,anderson,murdoch,zimmerman,constitution,sexual,anderson,gingrich,enbrel,cnn,melissa,tte,anderson,character
26,8,9,15,16,2,nfl,bowl,holiday,shopping,calories,fiber,21,6,18,african,14,17,olympic,testimony,trading,stocks,fed,6,8,10,0,16,supreme,thanksgiving,nbc,gregg,terror,commission,player,investors,5,agencies,nuclear,0,0,3,nuclear,player,gregg,terror,african,authority,earnings,delicious,wedding,flu,christmas,olympics,tiger
29,10,27,25,25,4,island,guest,rick,newt,jose,ktvu,20,17,7,yankees,6,22,tornado,gingrich,abuse,sandusky,jesus,3,13,6,0,9,newt,iowa,symbicort,santa,mental,santorum,sexual,allegations,1,iowa,hurricane,5,0,3,guest,jesus,symbicort,mental,yankees,rick,jackson,fog,oakland,santorum,gingrich,flooding,flood
5,15,5,22,8,0,gunman,authority,olympic,nfl,cnn,anderson,24,20,1,gay,20,10,testimony,religious,tornadoes,cnn,enbrel,16,9,3,10,17,supreme,olympics,wolf,enbrel,loan,marriage,wolf,anderson,2,religion,supreme,4,0,2,gunman,tornadoes,cloudy,loan,colorado,colorado,cymbalta,cymbalta,cloudy,tiger,bowl,agencies,commission
14,2,14,11,27,1,laden,sanctions,jose,ktvu,korea,nuclear,16,6,17,amendment,12,13,jury,yield,nuclear,taliban,korea,9,12,17,18,19,tempore,santa,sox,pakistan,gift,gentleman,libya,pakistan,1,chair,martin,5,0,2,sanctions,wing,sox,gift,immigration,immigration,wing,taliban,libya,fog,oakland,bin,zimmerman
8,16,14,13,24,0,shopping,christmas,obamacare,neil,korea,nuclear,23,17,12,liberal,24,19,thanksgiving,sarah,tha,tiger,nfl,18,4,14,8,1,score,healthcare,pakistan,libya,irs,palin,olympics,olympic,3,voter,flu,4,3,5,stuart,tha,protesters,aleve,score,voting,bowl,taliban,protesters,lou,aleve,holiday,stuart
25,9,19,24,20,5,nbc,calories,guns,mental,tha,thh,26,4,28,irs,3,29,delicious,lou,gingrich,iowa,rick,13,13,19,1,19,obamacare,veterans,harry,tte,background,healthcare,newt,oklahoma,5,century,que,5,4,1,que,oklahoma,harry,google,century,neil,santorum,melissa,thi,google,pope,wedding,fiber
12,26,15,15,11,5,trading,fed,tempore,gentleman,agencies,commission,12,21,7,terror,3,17,hoveround,testimony,israel,syria,russia,2,6,7,5,6,supreme,egypt,medicines,testimony,yield,commission,egypt,hits,0,authority,investors,5,5,3,hoveround,hits,medicines,egypt,terror,agencies,regime,authority,supreme,chair,amendment,earnings,stocks
20,23,2,13,5,4,movies,celebrex,anderson,cymbalta,santa,laden,22,17,27,voter,4,10,arthritis,palin,pope,background,flooding,7,13,3,7,1,sarah,cnn,martin,bin,wolf,yankees,guns,veterans,2,voting,bleeding,1,3,0,movies,flooding,santa,newshour,yankees,liberal,mental,zimmerman,jury,enbrel,newshour,cialis,chantix
7,19,10,25,21,0,tha,melissa,terrorist,testimony,tornado,flooding,2,24,19,rick,21,16,terrorists,retirement,retailers,advair,spill,15,13,14,13,16,santorum,qaeda,island,hurricane,border,newt,cbs,copd,0,gingrich,thh,3,1,4,terrorists,retailers,wit,testimony,retirement,iowa,gulf,wit,flood,fbi,immigration,thi,tte
12,15,0,16,18,4,testimony,supreme,aarp,prosecutors,passengers,consent,29,4,11,shopping,13,1,authority,christmas,regime,syria,fios,13,12,10,10,14,holiday,supplement,abc,ship,jenna,charlie,egypt,russia,5,thanksgiving,ryan,2,1,0,ryan,fios,consent,prosecutors,charlie,flu,israel,earthquake,haiti,jon,martha,commission,agencies
1,2,28,8,11,3,zimmerman,bin,mutual,gentleman,ensure,compromise,5,2,15,nfl,23,26,jury,olympic,avenue,dow,cloudy,11,19,13,6,6,prosecutors,yield,boehner,fiscal,tempore,olympics,beltway,baltimore,3,bowl,laden,1,2,5,allergic,dow,ensure,mutual,prosecutors,tiger,metro,ceiling,ryan,amendment,chair,martin,allergic
15,25,26,3,3,3,iowa,rick,kitchen,las,megyn,stocks,10,6,21,que,22,21,gingrich,gonna,authority,agents,supreme,4,9,5,5,16,las,gonna,earnings,trading,que,color,commission,testimony,3,manufacturing,santorum,1,4,1,faith,agents,megyn,island,manufacturing,kitchen,agencies,investors,fed,island,color,newt,faith
6,3,2,12,6,1,las,giants,teachers,climate,lifelock,laden,15,15,18,regime,27,29,kitchen,syria,teachers,guest,caller,1,7,5,18,15,oversight,caller,zimmerman,bin,chinese,russia,climate,chinese,1,egypt,que,1,3,5,giants,arrest,lifelock,authority,oversight,israel,arrest,jury,martin,guest,authority,color,gonna
29,19,13,15,5,2,melissa,tte,enbrel,anderson,storms,palin,14,8,10,testimony,13,13,tha,supreme,allegations,sandusky,sexual,3,14,7,3,1,agencies,wolf,sarah,voter,cnn,commission,palin,abuse,5,london,liberal,1,3,1,liberal,palin,storms,korea,london,authority,jackson,liberal,voting,cymbalta,korea,thi,thh
27,4,3,20,18,0,christie,film,aarp,jon,las,kitchen,12,9,24,guns,13,1,tavis,eating,cloudy,ktvu,oakland,19,9,8,15,3,background,martha,que,gonna,nations,veterans,santa,jose,2,pope,character,4,0,4,christie,cloudy,stuart,nations,eating,mental,fog,color,stuart,jenna,supplement,kennedy,lincoln
28,27,8,15,11,0,santa,chemical,yield,advair,olympic,tiger,7,3,7,authority,12,25,oakland,commission,nominee,fiscal,ryan,2,12,17,10,11,bedroom,gentleman,asthma,bowl,chair,agencies,boehner,compromise,1,testimony,fog,5,1,5,chemical,nominee,asthma,advair,bedroom,supreme,ceiling,nfl,olympics,tempore,amendment,ktvu,jose
26,17,8,8,7,3,giants,baseball,gulf,copd,nfl,lanes,16,7,1,olympics,12,29,nbc,olympic,fed,allegations,trading,17,16,9,11,4,tiger,cbs,bowl,olympic,advair,bowl,investors,stocks,4,nfl,league,2,3,2,european,allegations,lanes,turkey,cholesterol,cholesterol,earnings,tiger,olympics,spill,turkey,european,score
26,14,9,24,16,0,nuclear,libya,thanksgiving,holiday,wedding,calories,4,16,19,obamacare,22,0,pakistan,healthcare,port,earnings,stocks,10,18,15,4,12,irs,christmas,nbc,delicious,shopping,virus,investors,fed,4,lou,korea,3,3,0,supreme,port,aut,johnson,virus,neil,trading,aut,fiber,flu,johnson,supreme,taliban
0,10,18,15,5,4,island,flooding,wolf,enbrel,santorum,jenna,21,23,25,testimony,28,28,compromise,agencies,haiti,earthquake,ceiling,5,18,4,4,2,supreme,anderson,jon,martha,cymbalta,commission,abc,ship,0,authority,hurricane,1,4,2,compromise,ceiling,santorum,megyn,aleve,aleve,passengers,aarp,supplement,megyn,cnn,tornado,flood
29,1,0,13,29,1,cloudy,avenue,allegations,abuse,earthquake,haiti,4,4,7,sarah,2,8,laden,voter,sandusky,sexual,abuse,0,15,6,4,3,roosevelt,tavis,abc,passengers,sandusky,liberal,jackson,allegations,0,palin,metro,4,5,5,laden,olympics,symbicort,tavis,roosevelt,voting,olympics,ship,symbicort,jackson,sexual,baltimore,beltway
1,10,9,3,2,4,hurricane,tornado,zimmerman,aircraft,wedding,calories,0,26,24,tdd,5,0,cnnw,kitchen,metro,cloudy,abc,7,7,9,17,0,gonna,bin,charles,fiber,laden,las,beltway,baltimore,0,que,flood,5,1,3,cnnw,abc,charles,aircraft,tdd,color,avenue,nbc,delicious,martin,jury,island,flooding
24,26,23,0,22,2,nfl,stocks,religious,marriage,motion,cialis,27,20,11,ship,8,9,investors,passengers,lou,neil,irs,3,15,18,4,6,abc,religion,bleeding,chantix,santa,earthquake,honey,healthcare,2,haiti,earnings,1,0,2,nfl,honey,motion,santa,ban,ban,obamacare,arthritis,celebrex,supreme,gay,fed,trading
19,6,26,5,29,5,teachers,caller,giants,abuse,fed,stocks,27,23,4,cymbalta,5,12,auto,enbrel,thi,tte,thh,18,17,10,16,14,cnn,sexual,earnings,trading,jackson,wolf,melissa,protesters,0,anderson,climate,4,2,2,auto,protesters,johnson,giants,humira,humira,tha,investors,johnson,allegations,sandusky,guest,chinese
23,23,26,4,10,2,bleeding,cialis,flooding,island,earnings,fed,9,2,5,trayvon,18,17,celebrex,kennedy,bleeding,celebrex,cialis,2,5,13,6,1,lincoln,calories,investors,trading,hurricane,film,nbc,arthritis,5,tavis,identity,3,5,3,identity,nbc,christine,calories,trayvon,character,chantix,christine,stocks,flood,tornado,chantix,arthritis
13,27,1,5,5,2,santa,fog,cymbalta,enbrel,baltimore,metro,12,18,7,cymbalta,8,17,oakland,anderson,voter,voting,liberal,19,0,10,8,4,jon,anderson,avenue,beltway,nations,cnn,score,palin,5,wolf,gold,3,0,5,gold,score,louisiana,nations,jon,enbrel,sarah,louisiana,cloudy,wolf,cnn,ktvu,jose
4,29,11,11,16,2,sexual,jackson,holiday,christmas,accepts,gentleman,29,12,18,gentleman,27,1,abuse,tempore,kennedy,lincoln,tavis,7,0,17,7,4,amendment,flu,tempore,yield,shopping,syria,avenue,film,3,chair,sandusky,1,4,0,cooler,avenue,accepts,alleged,syria,yield,character,chair,amendment,alleged,thanksgiving,allegations,cooler
23,17,17,11,11,0,ceiling,league,gentleman,supreme,nbc,baseball,22,3,23,yield,28,19,nbc,chair,melissa,cialis,chantix,4,4,11,2,0,amendment,chair,league,reactions,tempore,gentleman,bleeding,celebrex,2,tempore,baseball,0,1,2,ceiling,melissa,reactions,supreme,las,las,arthritis,giants,score,yield,amendment,score,giants
2,28,9,7,26,3,compromise,coach,earnings,investors,unitedhealthcare,delicious,17,18,18,jon,8,28,boehner,advair,jury,cliff,bin,1,0,14,5,5,copd,fed,nbc,fiber,trading,gulf,laden,martin,1,cbs,fiscal,1,3,3,coach,cliff,unitedhealthcare,nbc,jon,spill,zimmerman,calories,wedding,stocks,nbc,ceiling,ryan
2,0,28,24,16,4,ship,abuse,pitch,flu,abc,compromise,17,2,27,lou,29,4,earthquake,irs,martin,zimmerman,british,10,1,5,2,14,obamacare,thanksgiving,ryan,fiscal,holiday,zimmerman,jury,bin,1,healthcare,abc,1,2,0,abuse,british,abc,pitch,zimmerman,neil,laden,ceiling,boehner,christmas,shopping,passengers,haiti
14,10,22,0,14,4,flooding,flood,nuclear,pakistan,wear,religion,29,17,9,haiti,8,29,medal,passengers,pakistan,taliban,prosecutors,10,19,18,13,13,animal,girls,gay,marriage,libya,earthquake,libya,korea,0,ship,tornado,1,5,5,medal,prosecutors,wear,girls,animal,abc,nuclear,supreme,religious,korea,taliban,island,hurricane
15,28,7,9,4,0,immigration,fiscal,tavis,character,advair,spill,24,14,6,wedding,6,17,boehner,afghan,yards,authority,supreme,2,5,16,12,7,fiber,film,cbs,gulf,irs,nbc,testimony,agencies,2,delicious,compromise,4,0,4,immigration,yards,culture,irs,afghan,calories,commission,copd,culture,kennedy,lincoln,ceiling,ryan
5,21,14,21,4,3,johnson,immigration,identity,kennedy,brooke,libya,18,26,5,goldman,4,26,terrorist,terrorist,enbrel,earnings,cymbalta,6,18,18,10,4,fbi,lincoln,nuclear,taliban,character,qaeda,wolf,anderson,2,immigration,fbi,1,2,3,johnson,earnings,brooke,identity,goldman,border,cnn,pakistan,korea,film,tavis,border,qaeda
27,27,9,3,22,2,santa,abt,olympic,marriage,mutual,delicious,8,8,5,london,19,18,jose,kitchen,fog,santa,jose,2,14,11,18,12,las,gay,calories,wedding,religion,que,murdoch,ktvu,1,gonna,oakland,1,2,3,abt,murdoch,mutual,olympic,london,color,oakland,fiber,nbc,religious,supreme,ktvu,fog
3,10,21,23,8,3,flood,hurricane,tiger,tre,terrorist,immigration,19,28,25,stimulus,19,11,island,cialis,gonna,urge,color,13,7,2,16,16,bleeding,bowl,fbi,border,olympics,celebrex,las,kitchen,5,chantix,aad,4,1,3,aad,urge,newt,tre,stimulus,arthritis,que,qaeda,newt,nfl,olympic,flooding,tornado
16,10,15,21,10,2,flooding,palin,immigrants,flooding,agencies,commission,21,29,12,qaeda,13,29,island,border,flu,shopping,christmas,17,14,17,1,5,immigration,island,testimony,authority,tornado,boys,drugs,holiday,1,terrorist,tornado,3,2,0,palin,drugs,protests,immigrants,boys,fbi,thanksgiving,protests,supreme,hurricane,flood,flood,hurricane
14,6,11,27,13,3,climate,guilty,voter,sarah,gentleman,yield,0,15,10,santa,2,1,guest,constitution,libya,wjz,pakistan,17,16,0,11,12,ktvu,voting,tempore,chair,captain,fog,nuclear,taliban,1,oakland,chinese,4,0,4,guilty,wjz,hurricane,captain,constitution,jose,korea,amendment,hurricane,palin,liberal,teachers,caller
3,26,10,23,3,0,earnings,investors,kitchen,taliban,rick,hurricane,14,7,25,bleeding,4,22,fed,arthritis,pbs,gonna,las,4,15,1,1,8,cialis,las,flood,flooding,que,function,kitchen,que,3,chantix,stocks,1,1,0,kennedy,pbs,rick,taliban,function,celebrex,color,island,tornado,gonna,color,trading,kennedy
9,21,29,4,20,4,immigration,qaeda,veterans,background,jackson,allegations,2,3,14,kennedy,15,8,terrorist,lincoln,wedding,delicious,coach,17,5,5,2,5,tavis,pope,afghan,sexual,guns,character,nbc,fiber,4,film,fbi,5,4,2,commission,coach,afghan,witness,hoveround,hoveround,calories,abuse,sandusky,witness,mental,commission,border
19,20,21,29,26,3,background,pope,stocks,trading,fbi,guide,17,23,18,sandusky,5,21,hotel,allegations,thi,terrorist,tte,8,17,7,10,4,abuse,fed,terrorist,border,investors,jackson,tha,thh,0,humira,mental,2,3,1,hotel,terrorist,guide,animals,humira,sexual,melissa,immigration,qaeda,earnings,animals,guns,veterans
11,9,9,2,16,4,delicious,wedding,christmas,thanksgiving,nbc,wedding,6,27,17,zimmerman,2,0,nbc,jury,tempore,gentleman,captain,19,13,15,15,17,laden,flu,calories,fiber,shopping,highway,yield,chair,5,bin,testimony,3,4,0,testimony,captain,wild,teacher,highway,martin,amendment,wild,delicious,teacher,holiday,calories,fiber
18,20,2,1,28,0,guns,veterans,boehner,fiscal,bin,piers,16,4,5,cloudy,22,17,mental,metro,wild,supplement,aarp,1,7,9,11,15,avenue,holiday,martin,laden,compromise,baltimore,jon,martha,5,beltway,snowden,2,5,2,snowden,wild,piers,holiday,movies,movies,jenna,zimmerman,jury,ceiling,ryan,background,pope
3,22,24,19,25,5,religious,supreme,iowa,newt,healthcare,obamacare,23,3,26,melissa,20,8,gay,kitchen,que,kitchen,las,19,2,17,13,7,tte,motion,irs,neil,santorum,thi,color,woods,5,thh,newtown,3,5,4,newtown,woods,bernanke,motion,kitchen,tha,gonna,bernanke,lou,rick,gingrich,marriage,religion
26,25,9,0,25,5,rick,gingrich,iowa,rick,nbc,innovation,21,12,6,haiti,0,22,iowa,mubarak,earnings,investors,stocks,16,16,13,10,8,passengers,agents,fiber,calories,santorum,earthquake,trading,pbs,5,abc,pilots,2,5,4,pilots,pbs,innovation,agents,mubarak,ship,fed,wedding,delicious,gingrich,newt,santorum,newt
12,16,10,4,15,5,flu,thanksgiving,testimony,agencies,flooding,hurricane,26,3,7,lincoln,26,11,christmas,que,regime,egypt,israel,13,1,8,13,15,character,authority,tornado,flood,google,film,russia,clerk,4,kennedy,holiday,4,0,4,google,clerk,lung,google,que,tavis,syria,island,lung,commission,supreme,google,shopping
22,23,11,25,8,1,chantix,arthritis,nfl,tiger,yield,amendment,16,3,19,rick,25,27,bleeding,iowa,gay,supreme,religious,7,4,15,16,11,gingrich,olympic,chair,aut,olympics,las,marriage,religion,5,santorum,delegates,0,3,0,delegates,skies,aut,stores,las,newt,skies,gentleman,tempore,bowl,stores,cialis,celebrex
27,8,14,16,5,0,bowl,olympic,wolf,cymbalta,libya,pakistan,7,26,21,shopping,14,17,tiger,european,hits,ktvu,oakland,16,15,5,13,6,thanksgiving,enbrel,korea,taliban,cnn,flu,jose,fog,5,holiday,libyan,3,3,4,libyan,hits,megyn,cholesterol,european,christmas,santa,megyn,nuclear,anderson,cholesterol,nfl,olympics
2,17,18,6,4,0,arizona,baseball,kennedy,character,aarp,martha,29,12,17,climate,21,11,nbc,chinese,bipartisan,bin,laden,3,13,1,9,14,guest,film,jenna,jon,lincoln,caller,martin,zimmerman,2,teachers,giants,4,4,2,arizona,bipartisan,nbc,sandusky,israeli,israeli,jury,supplement,nbc,sandusky,tavis,league,score
27,15,20,16,25,5,penn,supreme,gingrich,iowa,mental,veterans,22,1,26,shopping,29,8,authority,thanksgiving,fog,santa,oakland,12,17,3,12,10,radar,newt,trading,pope,rick,holiday,jose,player,2,flu,agencies,5,3,5,penn,player,trading,gwen,radar,christmas,ktvu,guns,background,santorum,gwen,testimony,commission
16,22,23,20,21,2,religious,religion,warnings,immigration,chantix,celebrex,10,24,21,background,12,27,russia,obamacare,flu,shopping,holiday,14,0,10,3,17,veterans,terrorist,boston,cialis,qaeda,pope,livermore,christmas,0,mental,supreme,5,2,4,russia,livermore,boston,warnings,obamacare,guns,thanksgiving,arthritis,bleeding,fbi,border,marriage,gay
14,10,15,1,17,5,tornado,flooding,hoveround,giants,commission,testimony,3,24,7,metro,7,12,flood,cloudy,libya,pakistan,taliban,5,12,0,11,14,beltway,score,authority,gulf,nbc,baltimore,korea,protesters,4,avenue,hurricane,0,2,2,spiriva,protesters,gulf,hoveround,taxpayers,taxpayers,nuclear,supreme,agencies,league,baseball,spiriva,island
11,11,20,16,4,0,tempore,chair,film,tavis,mental,trillion,12,7,28,thanksgiving,13,2,gentleman,holiday,guilty,yield,gentleman,11,11,8,17,11,christmas,lincoln,background,veterans,kennedy,shopping,tempore,chair,5,spiriva,african,2,3,1,african,guilty,trillion,european,spiriva,flu,amendment,guns,pope,character,european,yield,amendment
8,12,11,25,5,3,egypt,mississippi,wolf,cymbalta,tempore,yield,14,4,25,newt,10,15,israel,rick,olympics,consumer,tiger,12,1,13,19,11,kennedy,enbrel,convention,gentleman,japanese,gingrich,olympic,bowl,1,iowa,syria,5,0,5,mississippi,consumer,convention,japanese,kennedy,santorum,nfl,amendment,chair,cnn,anderson,russia,regime
8,21,2,25,20,1,immigration,qaeda,guns,mental,bin,jury,6,7,20,gingrich,20,13,fbi,cholesterol,bowl,olympics,olympic,10,16,9,4,16,newt,democracy,laden,martin,veterans,rick,tiger,nfl,5,santorum,background,3,5,4,background,reilly,colorado,democracy,cholesterol,iowa,reilly,colorado,zimmerman,pope,background,terrorist,border
3,25,21,4,10,3,santorum,iowa,flood,island,santa,border,0,26,27,consumer,5,23,newt,tavis,que,stomach,gonna,6,10,3,15,5,film,hurricane,immigration,fbi,tornado,character,kitchen,color,5,kennedy,blitzer,1,4,3,blitzer,stomach,santa,lunesta,consumer,lincoln,las,qaeda,terrorist,lunesta,flooding,rick,gingrich
